"mindex","n","predictors","rsquare","adjr","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
98,4,"WEIGHT HEIGHT ADIPOSITY ABDOMEN",0.722538643447126,0.71793347570351,0.706433785463622,9.061016573177,1394.53726684668,696.457795458772,1415.56925606228,4056.64178026961,16.8247182531746,0.288974275911914,0.0687065187629641
99,4,"WEIGHT ADIPOSITY NECK ABDOMEN",0.722166958697715,0.717555621912615,0.706245256792331,9.38929811719836,1394.8665857174,696.773702056005,1415.898574933,4062.0760212835,16.8472564951321,0.289361383265035,0.06879855740044
38,3,"WEIGHT NECK ABDOMEN",0.720894893938232,0.717434913284574,0.709193697995398,8.51281847685709,1393.99033160005,695.855922277561,1411.51698927972,4063.74206808327,16.7873073002584,0.28833172113819,0.0685423667363246
174,5,"WEIGHT HEIGHT ADIPOSITY CHEST ABDOMEN",0.722921705687594,0.717149241222752,0.701520466338107,10.722686136009,1396.19740539224,698.142225776378,1420.73472614377,4067.99115706336,16.9387134277735,0.290932209028027,0.069185818941892
175,5,"AGE WEIGHT HEIGHT ADIPOSITY ABDOMEN",0.722564696008777,0.716784793842294,0.704513980407981,11.0380062797006,1396.51416730175,698.443488891322,1421.05148805328,4073.23267993333,16.9605386113571,0.291307069190784,0.0692749634454713
100,4,"WEIGHT HEIGHT NECK ABDOMEN",0.721375528698179,0.716751056145452,0.704775546206805,10.0883094773471,1395.56634052978,697.444993407589,1416.59832974537,4073.64717498275,16.8952472745499,0.290185652683639,0.0689945356829231
176,5,"WEIGHT ADIPOSITY NECK CHEST ABDOMEN",0.722202158039229,0.716414702998379,0.700781354791473,11.3582091521575,1396.83541740662,698.749034146788,1421.37273815815,4078.5553677241,16.9827017576552,0.29168773405881,0.0693654883506538
177,5,"AGE WEIGHT ADIPOSITY NECK ABDOMEN",0.722180303431953,0.716392393086785,0.70417828117948,11.377511704204,1396.85476968772,698.767440794885,1421.39209043924,4078.87623136071,16.9840378021499,0.291710681396449,0.0693709453963086
101,4,"WEIGHT NECK CHEST ABDOMEN",0.720925558476616,0.716293617538468,0.705937511126509,10.4857347667422,1395.96330274712,697.825830238775,1416.99529196272,4080.22599382567,16.9225325956274,0.290654293868753,0.0691059598028608
102,4,"AGE WEIGHT NECK ABDOMEN",0.720895173984899,0.716262728739836,0.707207128895955,10.5125711324277,1395.99008477005,697.851524886115,1417.02207398564,4080.6702322598,16.9243750522446,0.29068593912776,0.0691134837790863
178,5,"AGE WEIGHT HEIGHT NECK ABDOMEN",0.721377967408505,0.715573341729515,0.70268100487814,12.0861555455745,1397.56418736152,699.442227541523,1422.10150811305,4090.65591932393,17.03308725948,0.29255313422107,0.0695712868737477
179,5,"WEIGHT HEIGHT NECK CHEST ABDOMEN",0.72137600497253,0.715571338409458,0.699067631610839,12.087888819573,1397.5659200226,699.443875702471,1422.10324077412,4090.68473129641,17.033207229688,0.292555194778843,0.0695717768895404
180,5,"HEIGHT ADIPOSITY NECK ABDOMEN WRIST",0.721322538843818,0.715516758403064,0.701006553323148,12.1351114815582,1397.61312129063,699.488775165201,1422.15044204215,4091.46970703528,17.0364757911413,0.292611334213991,0.069585127260091
9,2,"WEIGHT ABDOMEN",0.717731843038283,0.715408648330779,0.708149082661101,9.30650650118051,1394.7625290207,696.564841979108,1408.78385516443,4092.81314159388,16.8400577752816,0.289237741084229,0.06874861782202
181,5,"AGE WEIGHT NECK CHEST ABDOMEN",0.720926919161183,0.715112896643707,0.703832063781442,12.484532975086,1397.96210332084,699.820747963286,1422.49942407237,4097.27809189818,17.0606613320808,0.293026734880758,0.0696839125936754
182,5,"AGE HEIGHT NECK ABDOMEN WRIST",0.72090704778741,0.715092611282981,0.702237169685342,12.5020838842211,1397.97961910525,699.837410460311,1422.51693985678,4097.56983821842,17.0618761349458,0.293047599823219,0.069688874430442
39,3,"WEIGHT ADIPOSITY ABDOMEN",0.718388026280344,0.714896968754894,0.704611516355827,10.7269485607324,1396.18999190996,697.984284185047,1413.71664958963,4100.24180721102,16.9380876221517,0.29092146045419,0.0691580009136814
183,5,"AGE HEIGHT ADIPOSITY ABDOMEN WRIST",0.720529018224714,0.714706706104395,0.699217403551363,12.8359693307573,1398.3125990238,700.154176863196,1422.84991977533,4103.1199695341,17.0849863336195,0.293444530864051,0.0697832675511458
103,4,"HEIGHT ADIPOSITY ABDOMEN WRIST",0.719280233773795,0.714620984541825,0.700826698496207,11.9389279222704,1397.40937359529,699.213291112681,1418.44136281088,4104.28157048144,17.0223018928869,0.292367889306131,0.0695133842239404
40,3,"AGE WEIGHT ABDOMEN",0.717914929204116,0.714418006838878,0.706438188477135,11.1448000838365,1396.60291551569,698.383859498364,1414.12957319535,4107.13005271137,16.9665429453579,0.291410197103186,0.0692741836441167
41,3,"WEIGHT HEIGHT ABDOMEN",0.717862208251371,0.714364632320603,0.703498723559878,11.1913645872143,1396.64888796832,698.428346537178,1414.17554564799,4107.89766444217,16.9697139473054,0.291464660897344,0.0692871308055955
42,3,"WEIGHT CHEST ABDOMEN",0.717743960882078,0.714244919074831,0.704629356529247,11.2958037094266,1396.75196795142,698.528096421778,1414.27862563108,4109.61933415943,16.9768261601695,0.291586817270581,0.069316169882186
104,4,"WEIGHT ADIPOSITY CHEST ABDOMEN",0.718549266989928,0.71387788552918,0.698911150816812,12.5845366130129,1398.04910097484,699.827156314232,1419.08109019044,4114.96871780986,17.0666263002342,0.293129186661942,0.0696943902698808
